technique,top_8_tokens
T1027,"malware, malicious, sophisticated, employs, attackers, domains, obfuscation, chain"
T1055,"malware, employs, sophisticated, active, devices, infrastructure, threat, email"
T1059,"malware, powershell, attack, using, campaign, 2024, email, actors"
T1059.001,"powershell, new, windows, group, phishing, chain, campaign, malware"
T1071.001,"campaign, phishing, malware, macos, group, targets, uses, stage"
T1078,"malicious, malware, campaign, ransomware, phishing, stealer, attackers, targeting"
T1082,"phishing, malware, group, users, security, malicious, remote, cve"
T1083,"ransomware, phishing, malware, group, social, stealer, campaign, discovered"
T1105,"malicious, threat, malware, phishing, using, remote, domains, execution"
T1140,"malware, attackers, credentials, infection, data, sophisticated, targeting, service"
T1190,"malware, phishing, vulnerability, cve, vulnerabilities, stealer, devices, campaign"
T1204,"phishing, discovered, clickfix, campaigns, targeting, fake, details, malware"
T1204.002,"attackers, phishing, malicious, deliver, file, analysis, gain, new"
T1547.001,"malware, powershell, infection, targeting, attackers, rat, 2025, uncovered"
T1566,"phishing, discovered, social, campaigns, execution, pages, custom, tools"
